,PLAYER_NAME,GROUP_VALUE,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK
10,Andre Drummond,2015-16,DET,81,43,38,0.531,32.9,6.8,13.1,0.521,0.0,0.1,0.333,2.6,7.2,0.355,4.9,9.9,14.8,0.8,1.9,1.5,1.4,0.9,3.0,5.0,16.2,1.6,41.9,66,0,2,1,6,2,4,5,5,10,3,7,2,5,1,12,5,4,4,9,7,6,7,5,8,1,5,2,5,2,1
6,Kentavious Caldwell-Pope,2015-16,DET,76,41,35,0.539,36.7,5.3,12.6,0.42,1.5,4.9,0.309,2.4,3.0,0.811,0.9,2.8,3.7,1.8,1.4,1.4,0.2,0.5,2.2,2.5,14.5,2.3,25.3,1,0,4,2,6,3,1,1,1,5,7,6,9,1,1,5,1,3,2,4,1,1,3,1,1,1,1,1,2,2,1
8,Marcus Morris Sr.,2015-16,DET,80,42,38,0.525,35.7,5.1,11.8,0.434,1.4,3.7,0.362,2.5,3.4,0.749,1.1,3.9,5.1,2.5,1.8,0.8,0.3,0.4,2.1,3.3,14.1,2.0,25.6,4,0,3,3,3,7,1,4,4,5,10,9,7,3,2,10,2,5,4,1,1,2,7,6,8,2,3,3,3,4,1
8,Reggie Jackson,2015-16,DET,79,43,36,0.544,30.7,6.8,15.7,0.434,1.5,4.2,0.353,3.7,4.3,0.864,0.7,2.5,3.2,6.2,2.8,0.7,0.1,0.9,2.4,3.4,18.8,1.7,31.9,9,0,3,3,2,7,3,1,2,6,6,4,6,1,1,5,3,7,5,2,2,4,4,2,4,2,1,6,2,2,2
6,Draymond Green,2015-16,GSW,81,73,8,0.901,34.7,5.0,10.1,0.49,1.2,3.2,0.388,2.8,4.1,0.696,1.7,7.8,9.5,7.4,3.2,1.5,1.4,0.7,3.0,3.8,14.0,13.2,41.8,33,13,2,1,9,1,1,1,1,2,2,4,1,1,1,6,1,1,1,2,1,4,1,1,4,1,1,1,1,1,1
8,Harrison Barnes,2015-16,GSW,66,59,7,0.894,30.9,4.5,9.6,0.466,1.2,3.2,0.383,1.5,2.0,0.761,1.2,3.8,4.9,1.8,0.9,0.6,0.2,0.5,2.1,2.0,11.7,6.8,21.8,1,0,7,2,11,1,8,8,8,4,7,7,6,10,10,8,3,8,8,6,11,9,10,7,1,9,8,1,8,8,1
4,Klay Thompson,2015-16,GSW,80,71,9,0.888,33.3,8.1,17.3,0.47,3.5,8.1,0.425,2.4,2.8,0.873,0.4,3.4,3.8,2.1,1.7,0.8,0.6,0.5,1.9,2.1,22.1,10.5,32.2,0,0,3,1,8,1,6,3,3,2,1,2,3,2,3,3,5,1,2,6,5,7,3,5,5,3,2,1,4,4,1
6,Stephen Curry,2015-16,GSW,79,71,8,0.899,34.2,10.2,20.2,0.504,5.1,11.2,0.454,4.6,5.1,0.908,0.9,4.6,5.4,6.7,3.3,2.1,0.2,0.7,2.0,4.5,30.1,12.9,50.3,15,2,3,1,12,1,5,2,2,1,3,4,2,4,4,8,1,4,2,4,4,1,9,5,10,2,2,1,1,3,2
6,Dwight Howard,2015-16,HOU,71,34,37,0.479,32.1,5.2,8.5,0.62,0.0,0.1,0.0,3.3,6.7,0.489,3.4,8.4,11.8,1.4,2.3,1.0,1.6,0.7,3.1,5.4,13.7,0.3,35.3,38,0,11,14,5,13,11,13,12,5,9,8,9,13,11,18,10,12,12,9,12,5,11,14,11,11,12,14,11,12,2
8,James Harden,2015-16,HOU,82,41,41,0.5,38.1,8.7,19.7,0.439,2.9,8.0,0.359,8.8,10.2,0.86,0.8,5.3,6.1,7.5,4.6,1.7,0.6,1.2,2.8,6.8,29.0,1.5,49.9,23,3,1,11,1,13,2,4,4,10,6,6,9,5,4,7,9,6,6,8,4,6,8,8,3,5,5,13,6,6,8
